序号,动作ID,动作名称,身体部位,测试侧,阶段,建议原图文件名,项目目标路径,画面内容提示,拍摄要求,待导入图片路径,匹配状态,备注
92,wrist_radial_deviation,腕桡偏,腕部,左侧,完成动作,wrist_radial_deviation_left_move_腕桡偏_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_radial_deviation/left/move.png,向拇指侧缓慢偏腕。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
93,wrist_radial_deviation,腕桡偏,腕部,左侧,返回起点,wrist_radial_deviation_left_return_腕桡偏_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_radial_deviation/left/return.png,缓慢回到起点，手掌保持原来的朝向。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
94,wrist_radial_deviation,腕桡偏,腕部,右侧,准备姿势,wrist_radial_deviation_right_start_腕桡偏_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_radial_deviation/right/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
95,wrist_radial_deviation,腕桡偏,腕部,右侧,完成动作,wrist_radial_deviation_right_move_腕桡偏_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_radial_deviation/right/move.png,向拇指侧缓慢偏腕。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
96,wrist_radial_deviation,腕桡偏,腕部,右侧,返回起点,wrist_radial_deviation_right_return_腕桡偏_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_radial_deviation/right/return.png,缓慢回到起点，手掌保持原来的朝向。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
97,wrist_ulnar_deviation,腕尺偏,腕部,左侧,准备姿势,wrist_ulnar_deviation_left_start_腕尺偏_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_ulnar_deviation/left/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
98,wrist_ulnar_deviation,腕尺偏,腕部,左侧,完成动作,wrist_ulnar_deviation_left_move_腕尺偏_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_ulnar_deviation/left/move.png,向小指侧缓慢偏腕。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
99,wrist_ulnar_deviation,腕尺偏,腕部,左侧,返回起点,wrist_ulnar_deviation_left_return_腕尺偏_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_ulnar_deviation/left/return.png,缓慢回到起点，手掌保持原来的朝向。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
100,wrist_ulnar_deviation,腕尺偏,腕部,右侧,准备姿势,wrist_ulnar_deviation_right_start_腕尺偏_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_ulnar_deviation/right/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
101,wrist_ulnar_deviation,腕尺偏,腕部,右侧,完成动作,wrist_ulnar_deviation_right_move_腕尺偏_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_ulnar_deviation/right/move.png,向小指侧缓慢偏腕。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
102,wrist_ulnar_deviation,腕尺偏,腕部,右侧,返回起点,wrist_ulnar_deviation_right_return_腕尺偏_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_ulnar_deviation/right/return.png,缓慢回到起点，手掌保持原来的朝向。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
103,ankle_dorsiflexion,踝背屈,踝部,左侧,准备姿势,ankle_dorsiflexion_left_start_踝背屈_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_dorsiflexion/left/start.png,坐稳，让测试脚处于舒适起点。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
104,ankle_dorsiflexion,踝背屈,踝部,左侧,完成动作,ankle_dorsiflexion_left_move_踝背屈_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_dorsiflexion/left/move.png,向小腿方向缓慢抬脚尖。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
105,ankle_dorsiflexion,踝背屈,踝部,左侧,返回起点,ankle_dorsiflexion_left_return_踝背屈_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_dorsiflexion/left/return.png,缓慢放回起点，不以抬腿代替踝部活动。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
106,ankle_dorsiflexion,踝背屈,踝部,右侧,准备姿势,ankle_dorsiflexion_right_start_踝背屈_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_dorsiflexion/right/start.png,坐稳，让测试脚处于舒适起点。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
107,ankle_dorsiflexion,踝背屈,踝部,右侧,完成动作,ankle_dorsiflexion_right_move_踝背屈_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_dorsiflexion/right/move.png,向小腿方向缓慢抬脚尖。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
108,ankle_dorsiflexion,踝背屈,踝部,右侧,返回起点,ankle_dorsiflexion_right_return_踝背屈_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_dorsiflexion/right/return.png,缓慢放回起点，不以抬腿代替踝部活动。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
109,ankle_plantarflexion,踝跖屈,踝部,左侧,准备姿势,ankle_plantarflexion_left_start_踝跖屈_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_plantarflexion/left/start.png,坐稳，让测试脚处于舒适起点。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
110,ankle_plantarflexion,踝跖屈,踝部,左侧,完成动作,ankle_plantarflexion_left_move_踝跖屈_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_plantarflexion/left/move.png,向远离小腿的方向缓慢下压脚尖。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
111,ankle_plantarflexion,踝跖屈,踝部,左侧,返回起点,ankle_plantarflexion_left_return_踝跖屈_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_plantarflexion/left/return.png,缓慢回到起点，不以踮脚站立代替。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
112,ankle_plantarflexion,踝跖屈,踝部,右侧,准备姿势,ankle_plantarflexion_right_start_踝跖屈_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_plantarflexion/right/start.png,坐稳，让测试脚处于舒适起点。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
113,ankle_plantarflexion,踝跖屈,踝部,右侧,完成动作,ankle_plantarflexion_right_move_踝跖屈_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_plantarflexion/right/move.png,向远离小腿的方向缓慢下压脚尖。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
114,ankle_plantarflexion,踝跖屈,踝部,右侧,返回起点,ankle_plantarflexion_right_return_踝跖屈_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/ankle_plantarflexion/right/return.png,缓慢回到起点，不以踮脚站立代替。,从测试侧拍摄，小腿、踝、足跟和足尖完整入镜。,,待提供,
115,thumb_mcp_flexion,拇指掌指关节屈伸,手指,左侧,准备姿势,thumb_mcp_flexion_left_start_拇指掌指关节屈伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_flexion/left/start.png,拇指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
116,thumb_mcp_flexion,拇指掌指关节屈伸,手指,左侧,完成动作,thumb_mcp_flexion_left_move_拇指掌指关节屈伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_flexion/left/move.png,缓慢弯曲拇指指根的掌指关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
117,thumb_mcp_flexion,拇指掌指关节屈伸,手指,左侧,返回起点,thumb_mcp_flexion_left_return_拇指掌指关节屈伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_flexion/left/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
118,thumb_mcp_flexion,拇指掌指关节屈伸,手指,右侧,准备姿势,thumb_mcp_flexion_right_start_拇指掌指关节屈伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_flexion/right/start.png,拇指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
119,thumb_mcp_flexion,拇指掌指关节屈伸,手指,右侧,完成动作,thumb_mcp_flexion_right_move_拇指掌指关节屈伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_flexion/right/move.png,缓慢弯曲拇指指根的掌指关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
120,thumb_mcp_flexion,拇指掌指关节屈伸,手指,右侧,返回起点,thumb_mcp_flexion_right_return_拇指掌指关节屈伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_flexion/right/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
121,thumb_mcp_extension,拇指掌指关节伸展,手指,左侧,准备姿势,thumb_mcp_extension_left_start_拇指掌指关节伸展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_extension/left/start.png,拇指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
122,thumb_mcp_extension,拇指掌指关节伸展,手指,左侧,完成动作,thumb_mcp_extension_left_move_拇指掌指关节伸展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_extension/left/move.png,缓慢伸展拇指指根的掌指关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
123,thumb_mcp_extension,拇指掌指关节伸展,手指,左侧,返回起点,thumb_mcp_extension_left_return_拇指掌指关节伸展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_extension/left/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
124,thumb_mcp_extension,拇指掌指关节伸展,手指,右侧,准备姿势,thumb_mcp_extension_right_start_拇指掌指关节伸展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_extension/right/start.png,拇指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
125,thumb_mcp_extension,拇指掌指关节伸展,手指,右侧,完成动作,thumb_mcp_extension_right_move_拇指掌指关节伸展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_extension/right/move.png,缓慢伸展拇指指根的掌指关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
126,thumb_mcp_extension,拇指掌指关节伸展,手指,右侧,返回起点,thumb_mcp_extension_right_return_拇指掌指关节伸展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_mcp_extension/right/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
127,thumb_ip_flexion,拇指指间关节屈伸,手指,左侧,准备姿势,thumb_ip_flexion_left_start_拇指指间关节屈伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_flexion/left/start.png,拇指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
128,thumb_ip_flexion,拇指指间关节屈伸,手指,左侧,完成动作,thumb_ip_flexion_left_move_拇指指间关节屈伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_flexion/left/move.png,缓慢弯曲拇指拇指的指间关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
129,thumb_ip_flexion,拇指指间关节屈伸,手指,左侧,返回起点,thumb_ip_flexion_left_return_拇指指间关节屈伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_flexion/left/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
130,thumb_ip_flexion,拇指指间关节屈伸,手指,右侧,准备姿势,thumb_ip_flexion_right_start_拇指指间关节屈伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_flexion/right/start.png,拇指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
131,thumb_ip_flexion,拇指指间关节屈伸,手指,右侧,完成动作,thumb_ip_flexion_right_move_拇指指间关节屈伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_flexion/right/move.png,缓慢弯曲拇指拇指的指间关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
132,thumb_ip_flexion,拇指指间关节屈伸,手指,右侧,返回起点,thumb_ip_flexion_right_return_拇指指间关节屈伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_flexion/right/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
133,thumb_ip_extension,拇指指间关节伸展,手指,左侧,准备姿势,thumb_ip_extension_left_start_拇指指间关节伸展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_extension/left/start.png,拇指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
134,thumb_ip_extension,拇指指间关节伸展,手指,左侧,完成动作,thumb_ip_extension_left_move_拇指指间关节伸展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_extension/left/move.png,缓慢伸展拇指拇指的指间关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
135,thumb_ip_extension,拇指指间关节伸展,手指,左侧,返回起点,thumb_ip_extension_left_return_拇指指间关节伸展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_extension/left/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
136,thumb_ip_extension,拇指指间关节伸展,手指,右侧,准备姿势,thumb_ip_extension_right_start_拇指指间关节伸展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_extension/right/start.png,拇指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
137,thumb_ip_extension,拇指指间关节伸展,手指,右侧,完成动作,thumb_ip_extension_right_move_拇指指间关节伸展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_extension/right/move.png,缓慢伸展拇指拇指的指间关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
138,thumb_ip_extension,拇指指间关节伸展,手指,右侧,返回起点,thumb_ip_extension_right_return_拇指指间关节伸展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/thumb_ip_extension/right/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
139,index_mcp_flexion,食指掌指关节屈伸,手指,左侧,准备姿势,index_mcp_flexion_left_start_食指掌指关节屈伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_flexion/left/start.png,食指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
140,index_mcp_flexion,食指掌指关节屈伸,手指,左侧,完成动作,index_mcp_flexion_left_move_食指掌指关节屈伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_flexion/left/move.png,缓慢弯曲食指指根的掌指关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
141,index_mcp_flexion,食指掌指关节屈伸,手指,左侧,返回起点,index_mcp_flexion_left_return_食指掌指关节屈伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_flexion/left/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
142,index_mcp_flexion,食指掌指关节屈伸,手指,右侧,准备姿势,index_mcp_flexion_right_start_食指掌指关节屈伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_flexion/right/start.png,食指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
143,index_mcp_flexion,食指掌指关节屈伸,手指,右侧,完成动作,index_mcp_flexion_right_move_食指掌指关节屈伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_flexion/right/move.png,缓慢弯曲食指指根的掌指关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
144,index_mcp_flexion,食指掌指关节屈伸,手指,右侧,返回起点,index_mcp_flexion_right_return_食指掌指关节屈伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_flexion/right/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
145,index_mcp_extension,食指掌指关节伸展,手指,左侧,准备姿势,index_mcp_extension_left_start_食指掌指关节伸展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_extension/left/start.png,食指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
146,index_mcp_extension,食指掌指关节伸展,手指,左侧,完成动作,index_mcp_extension_left_move_食指掌指关节伸展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_extension/left/move.png,缓慢伸展食指指根的掌指关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
147,index_mcp_extension,食指掌指关节伸展,手指,左侧,返回起点,index_mcp_extension_left_return_食指掌指关节伸展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_extension/left/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
148,index_mcp_extension,食指掌指关节伸展,手指,右侧,准备姿势,index_mcp_extension_right_start_食指掌指关节伸展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_extension/right/start.png,食指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
149,index_mcp_extension,食指掌指关节伸展,手指,右侧,完成动作,index_mcp_extension_right_move_食指掌指关节伸展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_extension/right/move.png,缓慢伸展食指指根的掌指关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
150,index_mcp_extension,食指掌指关节伸展,手指,右侧,返回起点,index_mcp_extension_right_return_食指掌指关节伸展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_mcp_extension/right/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
151,index_pip_flexion,食指近端指间关节屈伸,手指,左侧,准备姿势,index_pip_flexion_left_start_食指近端指间关节屈伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_flexion/left/start.png,食指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
152,index_pip_flexion,食指近端指间关节屈伸,手指,左侧,完成动作,index_pip_flexion_left_move_食指近端指间关节屈伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_flexion/left/move.png,缓慢弯曲食指中间的近端指间关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
153,index_pip_flexion,食指近端指间关节屈伸,手指,左侧,返回起点,index_pip_flexion_left_return_食指近端指间关节屈伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_flexion/left/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
154,index_pip_flexion,食指近端指间关节屈伸,手指,右侧,准备姿势,index_pip_flexion_right_start_食指近端指间关节屈伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_flexion/right/start.png,食指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
155,index_pip_flexion,食指近端指间关节屈伸,手指,右侧,完成动作,index_pip_flexion_right_move_食指近端指间关节屈伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_flexion/right/move.png,缓慢弯曲食指中间的近端指间关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
156,index_pip_flexion,食指近端指间关节屈伸,手指,右侧,返回起点,index_pip_flexion_right_return_食指近端指间关节屈伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_flexion/right/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
157,index_pip_extension,食指近端指间关节伸展,手指,左侧,准备姿势,index_pip_extension_left_start_食指近端指间关节伸展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_extension/left/start.png,食指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
158,index_pip_extension,食指近端指间关节伸展,手指,左侧,完成动作,index_pip_extension_left_move_食指近端指间关节伸展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_extension/left/move.png,缓慢伸展食指中间的近端指间关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
159,index_pip_extension,食指近端指间关节伸展,手指,左侧,返回起点,index_pip_extension_left_return_食指近端指间关节伸展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_extension/left/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
160,index_pip_extension,食指近端指间关节伸展,手指,右侧,准备姿势,index_pip_extension_right_start_食指近端指间关节伸展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_extension/right/start.png,食指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
161,index_pip_extension,食指近端指间关节伸展,手指,右侧,完成动作,index_pip_extension_right_move_食指近端指间关节伸展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_extension/right/move.png,缓慢伸展食指中间的近端指间关节，不强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
162,index_pip_extension,食指近端指间关节伸展,手指,右侧,返回起点,index_pip_extension_right_return_食指近端指间关节伸展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_pip_extension/right/return.png,缓慢屈回刚才记录的起点，其他手指不要遮挡。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
163,index_dip_flexion,食指远端指间关节屈伸,手指,左侧,准备姿势,index_dip_flexion_left_start_食指远端指间关节屈伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_dip_flexion/left/start.png,食指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
164,index_dip_flexion,食指远端指间关节屈伸,手指,左侧,完成动作,index_dip_flexion_left_move_食指远端指间关节屈伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_dip_flexion/left/move.png,缓慢弯曲食指靠近指尖的远端指间关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
165,index_dip_flexion,食指远端指间关节屈伸,手指,左侧,返回起点,index_dip_flexion_left_return_食指远端指间关节屈伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_dip_flexion/left/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
166,index_dip_flexion,食指远端指间关节屈伸,手指,右侧,准备姿势,index_dip_flexion_right_start_食指远端指间关节屈伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_dip_flexion/right/start.png,食指保持舒适伸展，不要强行掰直。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
167,index_dip_flexion,食指远端指间关节屈伸,手指,右侧,完成动作,index_dip_flexion_right_move_食指远端指间关节屈伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_dip_flexion/right/move.png,缓慢弯曲食指靠近指尖的远端指间关节，保持该关节两侧指段可见。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
168,index_dip_flexion,食指远端指间关节屈伸,手指,右侧,返回起点,index_dip_flexion_right_return_食指远端指间关节屈伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_dip_flexion/right/return.png,缓慢伸回起始姿势，不要求所有手指同时握拳。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
169,index_dip_extension,食指远端指间关节伸展,手指,左侧,准备姿势,index_dip_extension_left_start_食指远端指间关节伸展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/index_dip_extension/left/start.png,食指保持舒适屈曲姿势，记录起点。,单只手近景；从所测手指侧面拍摄，让各关节展开在画面内。,,待提供,
